City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Kununurra,AU,-15.7667,128.7333,57.18,94,52,0.0,broken clouds
302,Oktyabrskoye,RU,43.0645,44.7417,68.14,83,5,6.71,clear sky
303,Slavyanka,RU,42.8633,131.3847,71.94,95,69,0.31,broken clouds
304,Otane,NZ,-39.8833,176.6333,57.0,70,100,3.47,overcast clouds
305,Adrar,MR,20.5022,-10.0711,95.18,31,10,16.8,clear sky
306,Aleksandrovka,UA,46.8383,32.7612,66.29,84,48,10.16,scattered clouds
307,Ciudad Bolivar,VE,8.1222,-63.5497,81.36,75,87,10.25,overcast clouds
308,Launceston,AU,-41.45,147.1667,51.44,87,100,23.02,light rain
309,Abu Dhabi,AE,24.4667,54.3667,98.71,44,0,1.14,clear sky
310,Griffith,US,41.5284,-87.4237,90.9,64,40,12.66,scattered clouds
311,Aksarayskiy,RU,46.7924,48.0119,78.04,44,11,6.53,few clouds
312,Half Moon Bay,US,37.4636,-122.4286,94.87,66,0,18.41,clear sky
313,Khairpur,PK,27.5295,68.7617,87.8,64,4,14.85,clear sky
314,Bandarbeyla,SO,9.4942,50.8122,75.61,80,38,29.95,scattered clouds
315,Nizhnyaya Omka,RU,55.4338,74.9426,52.0,78,22,7.43,few clouds
316,Itatiaia,BR,-22.4961,-44.5633,64.98,74,1,3.65,clear sky
317,Flinders,AU,-34.5833,150.8552,55.38,70,96,5.99,overcast clouds
318,Yendi,GH,9.4427,-0.0099,72.03,95,100,3.87,overcast clouds
319,Vestmannaeyjar,IS,63.4427,-20.2734,51.55,71,26,22.53,scattered clouds
320,Yumen,CN,40.2833,97.2,69.67,56,18,7.23,few clouds
321,Dekar,BW,-21.5333,21.9333,61.61,36,60,5.66,broken clouds
322,Dauphin,CA,51.1494,-100.0502,78.94,65,20,16.11,few clouds
323,Sikasso,ML,10.9167,-7.0,72.7,91,36,4.7,light rain
324,Morondava,MG,-20.2833,44.2833,69.91,66,0,11.18,clear sky
325,Rena,NO,61.1348,11.3641,52.61,99,100,5.48,overcast clouds
326,Klaksvik,FO,62.2266,-6.589,50.92,93,98,15.39,overcast clouds
327,Marawi,PH,7.9986,124.2928,67.75,91,64,2.28,broken clouds
328,Agaro,ET,7.85,36.65,58.28,96,97,1.86,overcast clouds
329,Huancavelica,PE,-12.7667,-74.9833,44.44,60,74,5.12,broken clouds
330,Vredendal,ZA,-31.6683,18.5012,60.04,50,97,0.45,overcast clouds
331,Manadhoo,MV,5.7667,73.3833,81.1,77,92,21.65,overcast clouds
332,Encruzilhada Do Sul,BR,-30.5439,-52.5219,56.77,96,69,4.54,light rain
